State,Stateabbr,Metro,MetroSize,Numberinhousehold,Poverty,Disability,Lunch,FoodStamps,IncomeScale,Unemployment,Welfare,WIC,SocialSec,SupSocialSec,TotalIncome,Minor,Vet
1,AL,0,0,3,0,0,1,1,9,0,0,0,0,1,21324,1,0
1,AL,0,0,3,0,0,0,0,15,0,0,0,0,0,36000,1,0
1,AL,0,0,3,0,0,0,0,25,0,0,0,0,0,62000,1,0
1,AL,0,0,3,0,0,1,0,21,0,0,0,1,0,50310,0,0
1,AL,0,0,3,1,0,0,1,8,0,0,0,1,0,17743,0,0
1,AL,0,0,3,0,0,1,0,37,1,0,0,0,0,90331,1,0
1,AL,0,0,3,0,0,1,0,32,0,0,0,0,0,79800,1,0
1,AL,0,0,3,1,0,1,0,9,0,0,0,0,0,20000,1,0
1,AL,0,0,3,0,0,0,0,18,0,0,0,0,0,42600,2,0
1,AL,0,0,3,0,0,1,0,22,1,0,0,0,0,54118,1,0
1,AL,0,0,3,0,0,0,0,23,0,0,0,1,0,57256,0,0
1,AL,0,0,3,0,0,1,0,11,0,0,0,0,0,25000,2,0
1,AL,0,0,3,0,0,0,0,38,0,0,0,0,1,93425,1,0
1,AL,0,0,3,0,0,1,0,12,0,0,0,0,0,28000,1,0
1,AL,0,0,3,0,0,1,0,17,0,0,0,0,0,41600,2,0
1,AL,0,0,3,0,0,0,0,16,0,0,0,0,0,38000,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,1,0,124991,1,0
1,AL,0,0,3,0,0,1,0,21,0,0,0,0,0,50000,2,0
1,AL,0,0,3,0,0,0,0,32,0,0,0,1,1,79097,0,1
1,AL,0,0,3,0,0,0,0,35,0,0,0,1,0,87260,1,1
1,AL,0,0,3,0,0,1,0,12,0,0,0,0,1,27540,1,0
1,AL,0,0,3,0,0,0,1,16,0,0,0,1,1,38360,0,0
1,AL,0,0,3,0,0,0,0,28,0,0,0,0,0,68795,0,0
1,AL,0,0,3,0,0,0,0,23,0,0,0,0,0,57000,0,0
1,AL,0,0,3,0,0,0,0,21,0,0,0,0,0,50000,2,0
1,AL,0,0,3,0,0,0,0,20,0,0,0,0,1,48400,0,0
1,AL,0,0,3,0,0,1,0,27,0,0,0,0,0,67025,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,1,0,171132,0,0
1,AL,0,0,3,0,0,0,0,37,0,0,0,0,0,91001,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,1,0,0,110002,1,0
1,AL,0,0,3,0,0,0,0,29,0,0,0,0,0,70000,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,1,0,163419,1,1
1,AL,0,0,3,0,0,0,0,35,0,0,0,0,0,87292,2,0
1,AL,0,0,3,0,0,0,0,18,0,0,0,0,0,44400,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,1,0,204055,0,1
1,AL,0,0,3,0,0,0,0,21,0,0,1,0,0,50200,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,234403,1,1
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,138051,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,111051,1,1
1,AL,0,0,3,0,0,0,0,41,1,0,1,0,0,139932,1,1
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,110005,1,0
1,AL,0,0,3,0,0,0,0,35,0,0,0,1,1,87046,0,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,101000,0,0
1,AL,0,0,3,0,0,1,0,28,1,0,0,0,0,68000,1,0
1,AL,0,0,3,0,0,0,0,25,0,0,0,0,0,61100,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,120000,0,0
1,AL,0,0,3,0,0,1,0,41,0,0,0,0,0,159906,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,154220,1,0
1,AL,0,0,3,0,0,1,0,41,0,0,0,0,0,105401,2,0
1,AL,0,0,3,1,0,1,1,2,0,0,0,0,0,3000,2,0
1,AL,0,0,3,0,0,0,0,41,0,0,1,0,0,234164,1,0
1,AL,0,0,3,1,0,0,0,9,0,0,0,0,0,20217,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,167112,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,142001,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,263900,0,0
1,AL,0,0,3,0,0,0,0,19,0,0,0,0,0,45000,0,0
1,AL,0,0,3,0,0,0,0,18,0,0,0,0,0,43001,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,116000,0,0
1,AL,0,0,3,0,0,0,0,19,0,0,0,1,0,47486,0,0
1,AL,0,0,3,0,0,0,0,41,1,0,0,0,0,123945,0,1
1,AL,0,0,3,0,0,0,0,41,1,0,0,1,0,158851,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,107700,1,0
1,AL,0,0,3,1,0,0,0,8,0,0,0,1,0,19022,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,1,0,190000,0,0
1,AL,0,0,3,0,0,0,0,11,0,0,0,1,1,26371,0,0
1,AL,0,0,3,0,0,0,1,10,0,0,0,1,0,24480,0,1
1,AL,0,0,3,0,0,0,0,9,0,0,0,1,1,21540,0,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,0,0,160467,0,0
1,AL,0,0,3,0,0,1,0,25,0,0,0,0,0,60000,2,0
